Наименование, Количество, Цена в BUSD, Цена в руб., Цена в BTC, Общая стоимоость в BUSD, Общая стоимоость в руб., Общая стоимоость в BTC, Средняя цена, Прибыль в BUSD, Прибыль в %
BTC, 0.00093906, 31399.54, 2328765.723824, 0, 29.4860520324, 2186.8507406141653, 0, 29.48576530792369, 0.0002867244763109511, 0.000972416599388383%
XRP, 18.74, 0.5814, 43.11987984, 1.852e-05, 10.895436, 808.0665482016, 0.00034706479999999996, 10.887070089199998, 0.008365910800002041, 0.07684262828711874%
ADA, 18.38, 1.1784, 87.39674303999999, 3.752e-05, 21.658991999999998, 1606.3521370751998, 0.0006896176, 21.647923564, 0.011068435999998627, 0.05112931948080777%
SOL, 0.2352233, 26.752, 1984.0781312, 0.00085297, 6.2926937216, 466.7014054786969, 0.000200638418201, 6.284905776870591, 0.007787944729408913, 0.12391505944400526%
LUNA, 1.904094, 6.643, 492.6820808, 0.00021121, 12.648896442, 938.1129939587952, 0.00040216369374, 12.6442833934662, 0.004613048533800068, 0.03648327382620839%
AAVE, 0.0287712, 254.05, 18841.77068, 0.008091, 7.3093233600000005, 542.1003525884161, 0.0002327877792, 7.310011304135233, -0.0006879441352323212, -0.009410985928888442%
MDX, 0.00531, 1.442, 106.9467952, 4.59e-05, 0.007657019999999999, 0.5678874825119999, 2.4372899999999995e-07, 0.007657019999999999, 0.0, 0.0%
ATA, 0.15284696, 0.43988, 32.623964128, 1.401e-05, 0.0672343207648, 4.986473740113851, 2.1413859096e-06, 0.066865707393716, 0.0003686133710840006, 0.5512741664625576%
KLAY, 0.00983298, 0.8923, 66.17796487999999, 2.845e-05, 0.008773968053999999, 0.6507266051057423, 2.79748281e-07, 0.008773968053999999, 0.0, 0.0%
Итог:, -, -, -, -, 88.3750588648188, 6554.389265744605, 0.0018749371543316, 88.34325613104342, 0.03180273377537228, 0.8312058781711976%